created_at	source	id	public_metrics	entities	author_id	text
2022-01-03 07:37:40+00:00	Twitter for iPhone	1477906997013975040	{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 52, 'end': 60, 'probability': 0.8182, 'type': 'Organization', 'normalized_text': 'Breitbart'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 37, 'username': 'Lockourier', 'id': '4640423804'}]}	3319244760	RT @Slarothestoic: Hello, @Lockourier Your ad is on Breitbart, a site that consistently undermines public trust in proven climate science.…
2022-01-03 07:38:31+00:00	Twitter Web App	1477907207442341889	{'retweet_count': 11, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 52, 'end': 60, 'probability': 0.8182, 'type': 'Organization', 'normalized_text': 'Breitbart'}], 'mentions': [{'start': 3, 'end': 17, 'username': 'Slarothestoic', 'id': '824297487737520128'}, {'start': 26, 'end': 37, 'username': 'Lockourier', 'id': '4640423804'}]}	2595431574	RT @Slarothestoic: Hello, @Lockourier Your ad is on Breitbart, a site that consistently undermines public trust in proven climate science.…
2022-01-04 12:29:00+00:00	Twitter Web App	1478342698360733698	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'mentions': [{'start': 0, 'end': 14, 'username': 'BerkeyFilters', 'id': '351200945'}, {'start': 191, 'end': 207, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 208, 'end': 224, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 225, 'end': 235, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	"@BerkeyFilters I wonder why you are comfortable advertising on Waking Times, a website that has a strong conspiracy and quackery level pseudoscience focus. Does this reflect your values?

cc @slpng_giants_oz @StopFundingHate @SFMisinfo"
2022-01-04 22:38:00+00:00	Twitter Web App	1478495958270885888	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 47, 'end': 64, 'probability': 0.5831, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'urls': [{'start': 257, 'end': 280, 'url': 'https://t.co/XF8c1bsKbC', 'expanded_url': 'https://twitter.com/Aushiker/status/1478495958270885888/photo/1', 'display_url': 'pic.twitter.com/XF8c1bsKbC'}], 'mentions': [{'start': 212, 'end': 228, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 229, 'end': 245, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 246, 'end': 256, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	Hello, @onepeleton your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science denialism, racism, &amp; COVID-19 scepticism what you are about? Please do better. cc @slpng_giants_oz @StopFundingHate @SFMisinfo https://t.co/XF8c1bsKbC
2022-01-04 23:17:10+00:00	Twitter Web App	1478505815686406146	{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	{'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/p73etcgSlo', 'expanded_url': 'https://www.theguardian.com/media/2021/oct/13/news-corps-andrew-bolt-says-his-companys-climate-campaign-is-rubbish?utm_term=4178a36737f1ac9328158b6a491e997c&utm_campaign=MorningMailAUS&utm_source=esp&utm_medium=Email&CMP=morningmailau_email', 'display_url': 'theguardian.com/media/2021/oct…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1481043473193377792/5IQsHfuI?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1481043473193377792/5IQsHfuI?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'News Corp’s Andrew Bolt says his company’s climate campaign is ‘rubbish’', 'description': 'Commentator adds voice to backlash against Mission Zero editorial project which has been criticised by some longtime supporters of climate action', 'unwound_url': 'https://www.theguardian.com/media/2021/oct/13/news-corps-andrew-bolt-says-his-companys-climate-campaign-is-rubbish?utm_term=4178a36737f1ac9328158b6a491e997c&utm_campaign=MorningMailAUS&utm_source=esp&utm_medium=Email&CMP=morningmailau_email'}], 'mentions': [{'start': 0, 'end': 9, 'username': 'Aushiker', 'id': '15322814'}, {'start': 10, 'end': 26, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 27, 'end': 43, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 44, 'end': 54, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	933608377	@Aushiker @slpng_giants_oz @StopFundingHate @SFMisinfo https://t.co/p73etcgSlo
2022-01-04 23:40:00+00:00	Twitter Web App	1478511561006321664	{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	{'annotations': [{'start': 50, 'end': 67, 'probability': 0.5841, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'urls': [{'start': 260, 'end': 283, 'url': 'https://t.co/E4OgOGsGsJ', 'expanded_url': 'https://twitter.com/Aushiker/status/1478511561006321664/photo/1', 'display_url': 'pic.twitter.com/E4OgOGsGsJ'}], 'mentions': [{'start': 6, 'end': 21, 'username': 'SEEKRbyCaframo', 'id': '1247245175656775683'}, {'start': 215, 'end': 231, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 232, 'end': 248, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 249, 'end': 259, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	Hello @SEEKRbyCaframo your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science denialism, racism, &amp; COVID-19 scepticism what you are about? Please do better. cc @slpng_giants_oz @StopFundingHate @SFMisinfo https://t.co/E4OgOGsGsJ
2022-01-05 00:43:00+00:00	Twitter Web App	1478527415492169731	{'retweet_count': 1, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}	{'annotations': [{'start': 48, 'end': 65, 'probability': 0.5832, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'urls': [{'start': 272, 'end': 295, 'url': 'https://t.co/S4ne0pmMhH', 'expanded_url': 'https://twitter.com/Aushiker/status/1478527415492169731/photo/1', 'display_url': 'pic.twitter.com/S4ne0pmMhH'}], 'mentions': [{'start': 7, 'end': 18, 'username': 'Greenpeace', 'id': '3459051'}, {'start': 213, 'end': 229, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 230, 'end': 246, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 247, 'end': 257, 'username': 'SFMisinfo', 'id': '1094902255898251265'}, {'start': 258, 'end': 271, 'username': 'GreenpeaceAP', 'id': '7009202'}]}	15322814	Hello, @Greenpeace  your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science denialism, racism, &amp; COVID-19 scepticism what you are about? Please do better. cc @slpng_giants_oz @StopFundingHate @SFMisinfo @GreenpeaceAP https://t.co/S4ne0pmMhH
2022-01-05 00:47:56+00:00	Twitter Web App	1478528658478301187	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'annotations': [{'start': 62, 'end': 79, 'probability': 0.5797, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'mentions': [{'start': 3, 'end': 12, 'username': 'Aushiker', 'id': '15322814'}, {'start': 21, 'end': 32, 'username': 'Greenpeace', 'id': '3459051'}]}	2394256638	RT @Aushiker: Hello, @Greenpeace  your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate scienc…
2022-01-05 01:09:01+00:00	Buffer	1478533961907421184	{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'urls': [{'start': 72, 'end': 95, 'url': 'https://t.co/p73etcgSlo', 'expanded_url': 'https://www.theguardian.com/media/2021/oct/13/news-corps-andrew-bolt-says-his-companys-climate-campaign-is-rubbish?utm_term=4178a36737f1ac9328158b6a491e997c&utm_campaign=MorningMailAUS&utm_source=esp&utm_medium=Email&CMP=morningmailau_email', 'display_url': 'theguardian.com/media/2021/oct…', 'images': [{'url': 'https://pbs.twimg.com/news_img/1481043473193377792/5IQsHfuI?format=jpg&name=orig', 'width': 1200, 'height': 630}, {'url': 'https://pbs.twimg.com/news_img/1481043473193377792/5IQsHfuI?format=jpg&name=150x150', 'width': 150, 'height': 150}], 'status': 200, 'title': 'News Corp’s Andrew Bolt says his company’s climate campaign is ‘rubbish’', 'description': 'Commentator adds voice to backlash against Mission Zero editorial project which has been criticised by some longtime supporters of climate action', 'unwound_url': 'https://www.theguardian.com/media/2021/oct/13/news-corps-andrew-bolt-says-his-companys-climate-campaign-is-rubbish?utm_term=4178a36737f1ac9328158b6a491e997c&utm_campaign=MorningMailAUS&utm_source=esp&utm_medium=Email&CMP=morningmailau_email'}], 'mentions': [{'start': 3, 'end': 15, 'username': 'no_fkng_way', 'id': '933608377'}, {'start': 17, 'end': 26, 'username': 'Aushiker', 'id': '15322814'}, {'start': 27, 'end': 43, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 44, 'end': 60, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 61, 'end': 71, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	RT @no_fkng_way: @Aushiker @slpng_giants_oz @StopFundingHate @SFMisinfo https://t.co/p73etcgSlo
2022-01-05 01:45:00+00:00	Twitter Web App	1478543018571358210	{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}	{'annotations': [{'start': 44, 'end': 61, 'probability': 0.5832, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}], 'urls': [{'start': 265, 'end': 288, 'url': 'https://t.co/qzo26Ii4P2', 'expanded_url': 'https://twitter.com/Aushiker/status/1478543018571358210/photo/1', 'display_url': 'pic.twitter.com/qzo26Ii4P2'}], 'mentions': [{'start': 7, 'end': 14, 'username': 'speedo', 'id': '20763485'}, {'start': 209, 'end': 225, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 226, 'end': 242, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 243, 'end': 253, 'username': 'SFMisinfo', 'id': '1094902255898251265'}, {'start': 254, 'end': 264, 'username': 'SpeedoAus', 'id': '67233601'}]}	15322814	Hello, @speedo  your adverts are showing on Sky News Australia after dark opinion pages. Is the funding of climate science denialism, racism, &amp; COVID-19 scepticism what you are about? Please do better. cc @slpng_giants_oz @StopFundingHate @SFMisinfo @SpeedoAus https://t.co/qzo26Ii4P2
2022-01-05 03:51:00+00:00	Twitter Web App	1478574727115558914	{'retweet_count': 0, 'reply_count': 2, 'like_count': 1, 'quote_count': 0}	{'annotations': [{'start': 41, 'end': 58, 'probability': 0.7149, 'type': 'Organization', 'normalized_text': 'Sky News Australia'}, {'start': 66, 'end': 72, 'probability': 0.635, 'type': 'Organization', 'normalized_text': 'YouTube'}], 'urls': [{'start': 278, 'end': 301, 'url': 'https://t.co/pcIJVZyumI', 'expanded_url': 'https://twitter.com/Aushiker/status/1478574727115558914/photo/1', 'display_url': 'pic.twitter.com/pcIJVZyumI'}], 'mentions': [{'start': 8, 'end': 23, 'username': 'UnitedAusParty', 'id': '1379153400'}, {'start': 219, 'end': 235, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 236, 'end': 252, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 253, 'end': 263, 'username': 'SFMisinfo', 'id': '1094902255898251265'}, {'start': 264, 'end': 277, 'username': 'CraigKellyMP', 'id': '211371719'}]}	15322814	Really, @UnitedAusParty? Your adverts on Sky News Australia after YouTube channel is the funding of climate science denialism, racism, &amp; COVID-19 scepticism. Is this really what you care about? Please do better. cc @slpng_giants_oz @StopFundingHate @SFMisinfo @CraigKellyMP https://t.co/pcIJVZyumI
2022-01-05 04:07:03+00:00	Twitter for Android	1478578765848399874	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	{'mentions': [{'start': 0, 'end': 9, 'username': 'Aushiker', 'id': '15322814'}, {'start': 10, 'end': 25, 'username': 'UnitedAusParty', 'id': '1379153400'}, {'start': 26, 'end': 42, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 43, 'end': 59, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 60, 'end': 70, 'username': 'SFMisinfo', 'id': '1094902255898251265'}, {'start': 71, 'end': 84, 'username': 'CraigKellyMP', 'id': '211371719'}]}	1196247141791850496	@Aushiker @UnitedAusParty @slpng_giants_oz @StopFundingHate @SFMisinfo @CraigKellyMP They're just lying filth as the most horrible thing we can say a bunch of ratfarkers
2022-01-05 04:21:00+00:00	Twitter Web App	1478582276980051968	{'retweet_count': 1, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}	{'annotations': [{'start': 37, 'end': 45, 'probability': 0.8678, 'type': 'Organization', 'normalized_text': 'Breitbart'}], 'urls': [{'start': 230, 'end': 253, 'url': 'https://t.co/ZYQpX3JlmE', 'expanded_url': 'https://twitter.com/Aushiker/status/1478582276980051968/photo/1', 'display_url': 'pic.twitter.com/ZYQpX3JlmE'}], 'mentions': [{'start': 1, 'end': 13, 'username': 'TheManShake', 'id': '2415399678'}, {'start': 184, 'end': 200, 'username': 'slpng_giants_oz', 'id': '896166389332848640'}, {'start': 201, 'end': 217, 'username': 'StopFundingHate', 'id': '754604381048344576'}, {'start': 218, 'end': 228, 'username': 'SFMisinfo', 'id': '1094902255898251265'}]}	15322814	.@themanshake you are advertising on Breitbart, an extreme right-wing biased website, home of conspiracy theories, propaganda &amp; false claims. Is this really what you are about? cc @Slpng_giants_oz @StopFundingHate @SFMisinfo. https://t.co/ZYQpX3JlmE
